№,Питання,A,B,C,D,Правильна
47,До якого етапу виконуються розбиття завдань на підзавдання у стратегії розроблення алгоритмів «розділяй та володарюй»?,Поки всі підзавдання не стануть елементарними,Поки не отримаємо відсортовану множину значень,Поки кількість підзавдань не збільшиться вдвічі,Поки не отримаємо оптимальний розв’язок,A
48,Яке з-поміж наведених тверджень є визначенням поняття «Кіберпростір» згідно із Законом України «Про основні засади забезпечення кібербезпеки України»?,"Середовище, яке надає можливості для здійснення комунікацій та/або реалізації суспільних відносин, утворене в результаті функціонування сумісних комунікаційних систем та забезпечення електронних комунікацій з використанням мережі «Інтернет» та/або інших глобальних мереж передачі даних. ","Організована сукупність об’єктів, створених з метою забезпечення надійності та безперебійності роботи державних інформаційних ресурсів, кіберзахисту, зберігання національних електронних інформаційних ресурсів, резервного копіювання інформації та відомостей національних електронних інформаційних ресурсів. ","Системи передавання, комутації або маршрутизації, обладнання та інші ресурси, що забезпечують електронні комунікації, у тому числі засоби і пристрої зв’язку, комп’ютери, інша комп’ютерна техніка, інформаційнотелекомунікаційні системи, які мають доступ до мережі «Інтернет» та/або інших глобальних мереж передачі даних. ","Автоматизована або автоматична система, яка є сукупністю обладнання, засобів, комплексів та систем обробки, передачі та приймання, призначена для організаційного управління технологічними процесами, незалежно від наявності доступу системи до мережі «Інтернет» та інших глобальних мереж передачі даних. ",A
49,На порушення якої властивості спрямовані DDoS-атаки?,Конфіденційність,Цілісність,Доступність,Спостережність,C
50,Для виконання яких дій під час побудови запиту до реляційної бази даних використовуються оператори мови SQL?,Додавання конкретних даних у базу даних і повернення результату обчислення. ,Побудови фільтра для значень даних бази даних і сортування результату,Класифікації значень даних у базі даних та повернення результату кластеризації. ,Маніпуляції над конкретними даними у базі даних та повернення результату обчислення. ,D
51,"Потрібно запрограмувати сховище даних – стек, членами класу якого є: //дані-члени; //конструктор; //деструктор та //функції-члени інтерфейсу стека Який опис відповідає деструктору класу?",1,2,3,4,B
52,Яке з наведених тверджень описує концепцію інкапсуляції в об’єктно- орієнтованому програмуванні та її вплив на розробку програмного забезпечення?,"Дає змогу класам наслідувати методи та властивості від кількох базових класів, забезпечуючи багаторазове використання коду. ","Обмежує доступ до внутрішніх даних об’єкта, надаючи доступ до них лише через визначені методи, що підвищує безпеку та надійність коду. ","Дає змогу об’єктам автоматично зв’язуватися один з одним, зменшуючи необхідність явного виклику методів. ","Забезпечує автоматичне видалення об’єктів з пам’яті після завершення їх використання, підвищуючи ефективність використання ресурсів. ",B
53,Яка основна перевага двобічнозв’язаних списків над однозв’язаними?,Займають менше пам’яті,Дають змогу двобічного обходу,Дають змогу швидко здійснювати операції вставлення та видалення елементів.  ,Мають простішу структуру,B
54,Який строк чинності наданого грифа секретності «особливої важливості»?,30 років,20 років,10 років,5 років,A
55,"Як називається двійкове дерево пошуку, в якому ліве та праве піддерево кожного вузла відрізняються за висотою щонайбільше на одну одиницю?",Дерево AVL,Червоно-чорне дерево,Дерево Фібоначчі,Просте двійкове дерево пошуку,A
56,Яким способом можна зобразити на площині планарний граф?,Без перетину ребер,Без перетину кратних ребер,Без перетину петель,Без перетину петель і кратних ребер,A
57,Задано функцію f(x) Визначте f'(x).,1,2,3,4,B
58,Що є головною відмінністю Гарвардської архітектури від інших архітектур?,Роздільне виконання операцій введення і виведення,Роздільне виконання процесором читання команди та читання/запису даних з/в пам’ять. ,Роздільне зберігання команд і даних у пам’яті,Роздільне зберігання у пам’яті операцій введення даних з різних пристроїв,C
59,Яке з наведених макровизначень є правильним?,Mac Macro a=1; b=a; cin>>a;  EndM,Test  cin>>a; b=a; c+=b; EndM,Test  a=1; b=a; cin>>c;  EndM,define  MyMacro  cin>>a; b=a; c+=b; EndM,A
60,"Який оператор SQL використовується для виконання операції об’єднання результатів двох або більше запитів у єдиний результат, виключаючи дублікати рядків?",UNION,INNER JOIN,OUTER JOIN,SELECT,A
61,"Множина А містить 5 елементів, а множина В – 8 елементів. Скільки елементів може містити різниця множин В\А?",Від 3 до 8 елементів,Від 0 до 5 елементів,Від 0 до 8 елементів,Від 3 до 13 елементів,A
62,Що називають базисом числа у позиційній системі числення?,"Найбільше число, яке можна виразити",Кількість символів у системі числення,Розряд числа,Вага кожного розряду,B
63,Яку характеристику операційної системи називають відмовостійкістю?,Коректно працювати протягом передбачуваного періоду часу,Вчасно і стабільно реагувати на запити користувача,Захищати від загроз власну цілісність та цілісність даних,Продовжувати коректну роботу після помилок,D
64,Що в об’єктно-орієнтованому програмуванні дає змогу забезпечити динамічну поведінку об'єктів та є ключовим для реалізації поліморфізму?,Функції вищого порядку (Higher-Order Functions),Статична типізація (Static Typing),Віртуальні функції та методи (Virtual Functions and Methods),Глобальні змінні та константи (Global Variables and Constants),C
65,"Яку залежність має час передачі повідомлення між абонентами від кількості комутаторів на шляху прямування між ними у мережі з комутацією каналів за умови, що перед початком передачі повідомлення між абонентами вже сформовано канал?",Лінійну,Квадратичну,Експоненційну,Ніяк не залежить,D
66,Якому з наведених нижче алгоритмів сортування масиву відповідає часова асимптотична складність n•log(n) у найгіршому випадку?,Бульбашкове сортування,Сортування вибором,Сортування вставкою,Сортування злиттям,D
67,Яким є еквівалент десяткової цифри 9 у двійковій системі числення?,0014,1001,0102,000А,B
68,Яку кількість станів передбачає модель SI поширення комп’ютерно- мережевого інфікування.,0,3,1,2,D
69,Який з основних принципів розробки через тестування є важливим для написання тестів перед написанням коду?,Одиничної відповідальності,Інверсії контролю,Покриття коду тестами,Постійного вдосконалення,C
70,Яка з наведених моделей розробки програмного забезпечення є прикладом водоспадної моделі?,Agile,Scrum,V-модель,Spiral,C
71,"Який вид діаграми, що відповідає концепції об’єктно-орієнтованого проєктування програмного забезпечення та стандарту UML (Unified Modeling Language), наведено на рисунку?",Станів (statechart diagrams),Варіантів використання (use case diagram),Послідовності (sequence diagrams),Діяльності (activity diagrams),B
72,Що є ENUM в SQL?,"Функція, яка обчислює числову суму стовпця","Тип даних, який зберігає статичний, впорядкований набір значень",Метод для роботи зі значеннями NULL у таблиці,"Ключове слово, що використовується для перерахування рядків як результат запиту. ",B
73,"Який вид програмування характеризується використанням незмінних даних, рекурсії, лінивих обчислень, чистих функцій?",Реактивне програмування,Узагальнене програмування,Подійно-орієнтоване програмування,Функціональне програмування.,D
74,"Як позначають обчислювальну складність, якщо час роботи алгоритму не залежить від обсягу вхідних даних?",O(1),O(m),O(m2),O(1/m),A
75,Який вхідний степінь (VertexInDegree(V6)) має вершина V6 наведеного орграфа?,1,5,3,4,D
76,Вкажіть стаціонарну(-і) точку(-и) функції двох змінних,1,2,3,4,B
77,Як у комп’ютерній мережі реалізується технологія комутації каналів?,"Забезпечується формування єдиного фізичного з’єднання між абонентами, що взаємодіють. ",Передбачається зберігання переданих повідомлень в буферній пам’яті проміжних вузлів. ,Забезпечується зниження затримок передачі трафіку на комутаторах,Реалізується здатність мережі забезпечити необхідний сервіс заданому трафіку. ,A
78,Вкажіть метод комутації  даних у високошвидкісних каналах «бекбон (backbone)»?,Комутація каналів,Комутація повідомлень,Комутація пакетів,Комутація комірок,D
79,"Виберіть запит до таблиці users з полями ID – унікальний числовий ідентифікатор користувача, первинний ключ;  user_name – ім’я користувача; login – логін користувача; password – пароль, що є аналогом запиту SELECT * FROM users WHERE login = 'SYSDBA' INTERSECT SELECT ID, user_name, login, password FROM users",SELECT * FROM users,SELECT * FROM users WHERE login = 'SYSDBA',"SELECT ID, user_name, login, password FROM users","SELECT ID, user_name, password FROM users WHERE login = 'SYSDBA'",B
80,"Яким чином процесор виконує код, перетворений компілятором або інтерпретатором у загальному випадку (без JIT-компіляції)?","Компілятор генерує машинний код з вихідного коду програми для виконання процесором, тоді як у випадку інтерпретатора процесор виконує інструкції інтерпретатора, який виконує вихідний код рядок за рядком.","Компілятор та інтерпретатор перетворюють вихідний код на байт-код, який потім виконується процесором, що забезпечує високу переносимість програми. ","Інтерпретатор перетворює вихідний код програми безпосередньо на машинний код і виконує його без участі процесора, тоді як компілятор зберігає проміжний байт-код для подальшої компіляції на машинний код іншими інструментами. ","Компілятор перетворює вихідний код у байт-код, який потім перетворюється в машинний код інтерпретатором з метою подальшого виконання процесором. ",A
81,Що є проблемою у складній системі?,Малопомітні відхилення у функціонуванні окремих підсистем,Ситуаційне реагування за відсутності чітко окреслених цілей діяльності,Виявлення негативних впливів наявної ситуації на різні елементи та оточення системи. ,Незадовільний стан параметрів за відсутності засобів вирішення ситуації.,D
82,Яка з цих задач є напіврозв’язною (має частковий алгоритмічний розв’язок)?,Задача розв’язування диференціальних рівнянь,Задача комівояжера,Задача рюкзака,Задача розв’язування систем лінійних рівнянь,C
83,"Який вираз, написаний мовою SQL, виконує операцію вибору з таблиці «Persons» усіх записів, для яких значення поля «FirstName» починається на літеру «A», за умови, що дані в полі зберігаються у верхньому регістрі (UpperCase)?",SELECT * FROM Persons WHERE FirstName LIKE 'A%',SELECT * FROM Persons WHERE FirstName LIKE '%A',SELECT * FROM Persons WHERE FirstName='A',SELECT * FROM Persons WHERE FirstName='%A%',A
84,"За яким полем потрібно створити індекс таблиці «Customers», щоб прискорити виконання наведеного нижче запиту? SELECT First_Name, Last_Name, City, email_address FROM Customers WHERE email_address LIKE 'Alex%' GROUP BY Last_Name, City, First_Name, email_address ORDER BY City;",email_address,First_Name,City,Last_Name,A
85,Яка з наведених задач є задачею класифікації?,"Визначення, чи є електронний лист спамом на основі його змісту та характеристик. ",Прогнозування цін на нерухомість на основі різних характеристик будинку,Стиснення зображення під час збереження картинки в форматі .png завдяки встановленню палітри в 32 кольори. ,Визначення ефекту впливу фондоозброєності на продуктивність праці,A
86,Дано таблицю «Студент» реляційної бази вказаної структури та змісту. До цієї таблиці зробили запит: SELECT Ідентифікатор FROM Студент WHERE (Рейтинг > 70 AND Рейтинг < 90) OR [На бюджеті]=true; Який перелік значень буде повернуто як результат виконання цього запиту?,"2, 4","1, 3, 4","1, 4","2, 3, 4",A
87,Яке призначення стеганографії?,Приховування факту передачі інформації,Шифрування інформації під час обміну даними,Захист каналів обміну даними від фізичного доступу,Виявлення фактів доступу до каналів обміну даними,A
88,Що означає термін «принцип жадібності» у контексті розроблення алгоритмів?,Вибір великої кількості кращих варіантів,Максимізація кількості ітерацій,Обирання оптимального варіанта на кожному етапі,Максимізація часу пошуку кращого алгоритму,C
89,Який із запропонованих варіантів є класифікацією системи за походженням?,"Прості, складні","Керовані ззовні, самокеровані","Штучні, природні","Пасивні, активні",C
90,Який каталог є кореневим у файловій системі Linux?,/,/root,/home,/usr,A
91,"Вкажіть склад попередньо порожнього стека (хвіст→голова) після виконання  послідовності команд: push (a), push (b), pop, push (с), push (d), pop.",[ac],[ab],[bc],[dc],A
92,Яка пам’ять комп’ютера розташована поза межами процесора?,Оперативна,Регістрова,Кеш-пам’ять першого рівня,Кеш-пам’ять другого рівня,A
93,Який з наведених варіантів є прикладом задачі класифікації у машинному навчанні?,Визначення часу роботи процесора,Прогнозування ціни акцій,Розпізнавання зображень котів і собак,Оптимізація маршруту доставки товарів,C
94,"Якщо в підмережі потрібно розмістити 64 вузли, якою має бути її маска?",«255.255.255.64»,«255.255.255.96»,«255.255.255.128»,«255.255.255.192»,C
95,Для чого введено поняття механізму плаваючих статичних маршрутів?,"Для формування резервних з’єднань, що використовуються у випадках, якщо основні з’єднання виходитимуть з ладу. ","Для забезпечення можливості зв’язку з віддаленими мережами, інформації про які немає в таблиці маршрутизації. ","Для повноцінної заміни протоколів динамічної маршрутизації, якщо її немає в таблиці маршрутизації. ",З метою зменшення обсягу таблиць маршрутизації та забезпечення сумаризації адрес мереж. ,A
96,Яку метрику використовують для сегментації зображень?,Перетин через об’єднання (IoU),Міра індексу структурної подібності (SSIM),Коефіцієнт детермінації (r²),Пікове відношення сигнал/шум (PSNR),A
97,Визначте першу похідну від виразу за умови.,1,2,3,4,D
98,Що є сильним штучним інтелектом?,"Здатність виконати будь-яке завдання, яке може виконати людина",Здатність обробити та інтерпретувати емоційну інформацію,Здатність навчатися та саморозвиватися на основі досвіду та накопичених даних. ,Здатність створити текст на основі аналізу неструктурованих даних,A
99,Що дає змогу переносити знання з однієї галузі в іншу?,Використання для опису систем різних конфігураторів,Строго доведений ізоморфізм для систем різної природи,Закон необхідної різноманітності,Принцип взаємодії відкритих систем із довкіллям,B
100,"Яка кібератака має на меті спотворення інформації у таблиці IPv4-вузла, що містить відповідності між адресами мережного та канального рівнів моделі OSI?",IP-Spoofing,MAC-Spoofing,DNS-Spoofing,ARP-Spoofing,D
101,"Таблиця «ОсвітаСпівробітників» використовується для зберігання даних дипломів про здобуту освіту, отриманих співробітниками, і містить первинний ключ «КодОсвіти», зовнішні ключі «КодСпівробітника» і «КодЗакладуОсвіти» та інші неключові поля. Як в SQL-запиті згрупувати записи і встановити умову відбору груп записів, щоб відібрати тих співробітників, які мають більше одного диплома?",GROUP BY КодСпівробітника HAVING Count(КодОсвіти)>1,GROUP BY КодЗакладуОсвіти HAVING Count(КодОсвіти)>1,GROUP BY КодОсвіти HAVING Count(КодСпівробітника)>1,GROUP BY КодОсвіти HAVING Count(КодЗакладуОсвіти)>1.,A
102,Що є однією з функцій первинного ключа у реляційній моделі баз даних?,Побудова таксономії значень атрибутів у відношенні,Встановлення співвідношення між вимогами до атрибутів,Нормалізація атрибутів і формалізація кортежів відношення,Формування критеріїв відбору підмножини даних у відношенні,D
103,Виконайте завдання,Вектор рядок,Число,Вектор стовпчик,Матриця,D
104,Як розпочинається розбиття вхідного масиву А на підмасиви під час роботи методу швидкого сортування (Quick Sort)?,"Вибір випадкового (опорного) елемента. Після чого всі елементи менші за опорний елемент переміщаються у лівий підмасив, а всі більші ‒ в правий. ","Вибір випадкового (опорного) елемента. Після чого масив A розбивається на два підмасиви. Лівий підмасив містить усі елементи включно з опорним, правий – решту елементів. ","Вибір двох підмасивів. Лівий підмасив містить усі елементи до опорного елемента, а правий – решту елементів включно з опорним елементом. ",Розбиття масиву A на два підмасиви однакової розмірності. Після чого в кожному з них здійснюється вибір випадкового (опорного) елемента. ,A
105,"Як називають штучний інтелект, що зосереджується на імітації того, як людина виконує базові дії, як-от запам’ятовування даних, сприйняття фактів і розв’язання простих проблем?",Слабкий,Сильний,Глибокий,Генеративний,A
106,Яку з функцій НЕ виконує інтерфейсна схема пристроїв введення- виведення?,"Декодування адреси пристрою (номеру пристрою), який надходить з процесора. ",Забезпечення взаємодії з контролером пристрою введення-виведення,Синхронізація потоку даних та контроль швидкості передавання даних між пристроями. ,Формування протоколу обміну для зв’язку між зовнішніми і внутрішніми пристроями комп’ютера. ,D
107,Що є домінантою  стримування зростання робочої частоти чипів?,Неможливість традиційного відведення теплової  потужности з чипу,Неможливість виготовлення чипів нових розробок у Земних умовах,Обмежені обчислювальні ресурси конструкторських бюро,Обмежені можливості ринку збуту,A
108,Яка з наведених дій дає змогу покращити реактивність операційної системи реального часу?,Використання асинхронних операцій,Оптимізація роботи процесора,Збільшення обсягу оперативної пам’яті,Використання синхронних операцій,A
109,Який з наведених криптографічних алгоритмів є криптографічною геш- функцією?,«СТРУМОК» (ДСТУ 8845:2019),«Калина» (ДСТУ 7624:2014),«Купина» (ДСТУ 7564:2014),«Rijndael» (AES),C
110,Який оператор стандарту SQL:2016 використовується для надання прав доступу користувачам до об’єктів бази даних?,GRANT,ALLOW,PERMISSION,ACCESS,A
111,Для чого використовують гіперплощину у контексті  опорних векторних машин (SVM)?,Максимізації відстані між найближчими точками різних класів,Мінімізації кількості опорних векторів,Знаходження найкращого розподілу точок у просторі,Зменшення розмірності даних перед класифікацією,A
112,"Яка модель даних передбачає нормалізацію таблиць, що в неї входять?",Логічна,Концептуальна,Фізична,ER-модель,A
113,"До якої з перерахованих мережних топологій належить мережа, наведена на рисунку?",Кільце (ring),Шина (bus),Дерево (tree),Зірка (star),D
114,Яку функцію виконує лазерний промінь у лазерному принтері?,Формування зображення на фоточутливому барабані,Нагрівання та розплавлення тонера на папері,Нанесення кольорового зображення на папір,Позиціювання друкувальної головки принтера,A
115,Яка програма приймає на вхід один або кілька об’єктних модулів і збирає їх в один виконуваний модуль?,Компілятор,Інтерпретатор,Компонувальник,Лексичний аналізатор,C
116,"Якщо об’єкт а може бути вибраний m способами, а об’єкт b, у свою чергу, може бути вибраний іншими n способами, то скількома способами  можна обрати будь-який з цих об’єктів?",mn,m+n,m-n,m!n!,B
117,Мережу з якою IP-адресою визначає IPv4-адреса 121.14.32.77/16?,121.14.0.0/16,121.14.32.0/16,121.14.32.16/16,121.14.16.16/16,A
118,Що покладено в основу процедурного програмування?,Класи та об’єкти,Функції та дані,Наслідування та інкапсуляція,Події та обробники подій,B
119,Який вихідний степінь (VertexOutDegree(V2)) має вершина V2 наведеного орграфа?,1,3,4,2,D
120,"Яка операція була виконана над множинами: а=(true, false, false, false, true, true, false, true) і b=(true, false, true, true, true, false, false, false), якщо як результат отримано множину с=(false, false, true, true, false, true, false, true)?",Перетин множин,Об’єднання множин,Різниця множин,Диз’юнктивна сума множин,D
121,Які основні компоненти структури комп’ютера згідно з класичною архітектурою фон Неймана?,"Арифметико-логічний пристрій, пам’ять, пристрої введення-виведення, система керування. ","Процесор, системна плата, пристрої введення-виведення, жорсткий диск","Арифметико-логічний пристрій, регістри, пристрої введення-виведення, жорсткий диск. ","Процесор, оперативна пам’ять, пристрої введення-виведення, накопичувачі даних. ",A
122,З чого починається первинна обробка даних?,Вибору підмножини даних для подальшого дослідження,Вибору залежних ознак,Очищення та структурування,Видалення шуму,C
